ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa
ENG30-00300441-a,Koji je fizički i na silu razdvojen u delove; ili koji je pravno ili emocionalno uništen.,"['razbijen', 'polomljen']","(0.0, 0.0)",negative,Neutralan
ENG30-01157517-v,Trošiti resurse ili sredstva.,"['osiromašiti', 'iscrpsti', 'iskoristiti']","(0.0, 0.0)",negative,Negativan
ENG30-07132729-n,(fonologija) gubitak glasova unutar reči (kao u `haj'mo` za` hajdemo`),['sinkopa'],"(0.0, 0.0)",negative,negativan
ENG30-01202184-n,čin segregacije ili razdvajanja,"['aparthejd', 'odvajanje', 'razdvajanje', 'segregacija', 'separatizam']","(0.0, 0.0)",negative,Negativan
ENG30-01158181-v,Potrošiti rasipno.,"['traćiti', 'potrošiti']","(0.0, 0.0)",negative,Negativan
ENG30-07289831-n,Neki događaj.,['stvar'],"(0.0, 0.0)",positive,Neutralan
ENG30-00778275-v,Napraviti prekid u nečemu.,['prekinuti'],"(0.0, 0.0)",negative,Negativan
ENG30-04951373-n,vizuelni efekat osvetljavanja na predmetima ili scenama kao što se prikazuje na slikama,"['svetlost', 'svetlo']","(0.0, 0.0)",positive,Neutralan
ENG30-08050678-n,Organizacija koja je upravljačko telo političke jedinice.,"['vlast', 'režim', 'vlada']","(0.0, 0.0)",positive,Negativan
ENG30-13771404-n,mala količina tečnosti,"['kap', 'kapljica']","(0.0, 0.0)",negative,Neutralan
ENG30-02160779-v,"Svetleti sjajno, kao zvezda ili svetlo.","['svetleti', 'sijati']","(0.0, 0.0)",positive,Pozitivan
ENG30-11452079-n,Sposobnost fizičkih sistema da rade; jedinice za energiju su džuli i ergi.,"['energija', 'snaga']","(0.0, 0.0)",positive,Neutralan
ENG30-01745141-v,oblikovati štampani materijal u traženi format,"['formatirati', 'slagati', 'složiti']","(0.0, 0.0)",positive,Neutralan
ENG30-14440875-n,stanje degeneracije mentalnih ili moralnih kvaliteta,"['degeneracija', 'dekadencija', 'izopačenje', 'korupcija', 'propadanje']","(0.0, 0.0)",negative,Negativan
ENG30-13804203-n,"fleksija imenica, prideva i zamenica u indoevropskim jezicima","['deklinacija', 'imenička promena']","(0.0, 0.0)",negative,Neutralan
ENG30-00830981-a,koji nije upućen ni u osnovne postulate određene umetnosti ili grane znanja,"['amater', 'neiskusan', 'neobrazovan', 'neuk', 'neupućen']","(0.0, 0.0)",negative,Neutralan
ENG30-01233802-n,čin prisustva,"['dostupnost/prisutnost', 'prisustvo', 'prisutnost']","(0.0, 0.0)",positive,Neutralan
ENG30-02310007-v,vratiti,"['poslati natrag', 'poslati nazad', 'slati natrag', 'slati nazad', 'vraćati', 'vratiti']","(0.0, 0.0)",positive,Negativan
ENG30-00582388-n,Osnovna aktivnost u životu kojom se zarađuje novac.,"['zanimanje', 'poziv', 'struka', 'posao']","(0.0, 0.0)",positive,Negativan
ENG30-01339505-v,ukloniti svu odeću ili deo odeće da bi pokazali svoje telo,"['eksponirati', 'izlagati', 'izložiti', 'otkriti', 'otkrivati', 'pokazati', 'pokazivati', 'razotkriti', 'razotkrivati']","(0.0, 0.0)",positive,Negativan
ENG30-06584891-n,"u računarsvu, red koda zapisan kao deo računarskog programa","['instrukcija', 'komanda', 'iskaz']","(0.0, 0.0)",positive,Neutralan
ENG30-13937284-n,situacija nalik na zatvor; mesto prividnog zatočeništva,"['zatvor', 'tamnica']","(0.0, 0.0)",negative,Negativan
ENG30-02912065-n,Komad nameštaja koji stoji sa strane u dnevnoj sobi; ima police i ladice.,"['bife', 'kredenac']","(0.0, 0.0)",negative,Neutralan
ENG30-13254805-n,Iznos za koji prihod nekog poslovanja premašuje troškove izrade.,['dobitak'],"(0.0, 0.0)",positive,nezakonichen
ENG30-07747951-n,"u pojedinim delovima ravno, crvenkasto-narandžast kineski citrus koji se lako ljušti",['mandarina'],"(0.0, 0.0)",positive,Neutralan
ENG30-01688589-n,"Lepih i živih boja, jedan od najl;epših tropskih guštera; živi na Sundskim ostrvima i na poluostrvu Malaka; hrani se insektima.",['zmaj'],"(0.0, 0.0)",negative,negativan
ENG30-00079470-v,"tretirati, ispraviti nedostatak","['ispraviti', 'ispravljati', 'korigovati']","(0.0, 0.0)",positive,nezakonitan
ENG30-14438898-n,povoljna javna reputacija,"['dobar glas', 'obožavanje', 'popularnost', 'respekt', 'slava', 'ugled']","(0.0, 0.0)",positive,Neutralan
ENG30-00207761-n,čin kojim se neka osoba proteruje iz domovine,"['progonstvo', 'izgnanstvo']","(0.0, 0.0)",negative,Negativan
ENG30-01126846-v,postaviti blokade,['blokirati'],"(0.0, 0.0)",negative,Negativan
ENG30-04600486-n,jaka radna površina za stolara ili mehaničara,['klupa'],"(0.0, 0.0)",negative,Neutralan
ENG30-04346428-n,svinjski obor,"['obor', 'svinjac', 'tor']","(0.0, 0.0)",negative,Negativan
ENG30-03829563-n,Petlja napravljena od konopca pomoću kliznog čvora; sve se više steže sa povlačenjem konopca.,['omča'],"(0.0, 0.0)",negative,Neutralan
ENG30-10193967-n,"oženjen muškarac, ženin partner u braku","['bračni drug', 'muž', 'suprug']","(0.0, 0.0)",positive,Neutralan
ENG30-01741446-v,pripremiti za useve,"['kultivirati', 'kultivisati', 'negovati']","(0.0, 0.0)",positive,Negativan
ENG30-12638218-n,"Neka od voćki čiji je plod ovalan, sa glatkom kožom i ima jednu tvrdu koščicu.",['šljiva'],"(0.0, 0.0)",positive,Neutralan
ENG30-06763681-n,kratka beleška kojom se ukazuje na izvor informacije ili navedenog odlomka,"['citat', 'navod', 'referenca']","(0.0, 0.0)",negative,Neutralan
ENG30-01295275-v,Učiniti da postane spojeno ili povezano.,"['združiti', 'povezati', 'pridružiti']","(0.0, 0.0)",positive,Neutralan
ENG30-01215421-v,"Uspeti u hvatanju nekoga, kao zločinca.","['uhvatiti', 'uloviti']","(0.0, 0.0)",negative,Negativan
ENG30-04315599-n,preklopna prenosna lestvica koja na vrhu ima šarke,"['lestve', 'merdevine', 'skela']","(0.0, 0.0)",negative,Negativan
ENG30-07953827-n,zbirka srodnih stvari namenjenih da se koriste zajedno,"['baterija', 'grupa', 'kolekcija', 'zbirka']","(0.0, 0.0)",negative,Neutralan
ENG30-01621555-v,Proizvesti ili stvoriti proizvod stvoren ljudskom rukom.,"['proizvesti', 'proizvoditi', 'napraviti']","(0.0, 0.0)",negative,Neutralan
ENG30-04835028-n,Pokušaj da se za sebe dobije lično priznanje (posebno neprihvatljivim sredstvima).,"['egocentričnost', 'egoizam', 'samoživost', 'sebičnost']","(0.0, 0.0)",negative,Negativan
ENG30-05643190-n,Umešnost u rukovanju koja potiče od vežbanja i dobrog poznavanja.,"['spretnost', 'sposobnost']","(0.0, 0.0)",positive,Neutralan
ENG30-02230772-v,Staviti nekome u ruke ili na staranje.,"['izručiti', 'predati', 'pružiti', 'uručiti']","(0.0, 0.0)",positive,Negativan
ENG30-07961016-n,Kompaktna masa.,"['grumen', 'kvrga', 'gruda']","(0.0, 0.0)",negative,Neutralan
ENG30-02529284-v,šta ne učiniti; šta neučinjenim ostaviti,"['ignorirati', 'ne uspeti', 'ne uspevati', 'od čega odustajati', 'od čega odustati', 'propuštati', 'propustiti ', 'zanemariti']","(0.0, 0.0)",negative,Neutralan
ENG30-03850746-n,Narkotičko sredstvo koje sadrži opijum ili derivate opijuma.,['opijat'],"(0.0, 0.0)",negative,Negativan
ENG30-01815628-v,dati zadovoljstvo kome ili kome prijatan biti,"['obradovati', 'radovati', 'zadovoljavati', 'zadovoljiti']","(0.0, 0.0)",positive,nezakoniten
ENG30-00177861-v,Ukloniti iz nečega ljuske ili lupine.,"['otrebiti', 'očistiti']","(0.0, 0.0)",positive,Negativan
ENG30-03532672-n,mehanički uređaj koji je zakrivljen ili savijen da obesi ili zadrži ili povuče nešto,"['kandža', 'kuka', 'kukica']","(0.0, 0.0)",negative,Negativan
ENG30-00181664-v,Osloboditi prepreka.,"['očistiti', 'pospremiti']","(0.0, 0.0)",positive,Pozitivan
ENG30-07196682-n,rečenica koja traži odgovor,"['ispitivanje', 'pitanje', 'upit']","(0.0, 0.0)",negative,nezakonitan
ENG30-04347225-n,Nešto (osoba ili predmet ili prizor) što umetnik ili fotograf izabere da grafički predstavi.,"['sadržaj', 'predmet']","(0.0, 0.0)",negative,Neutralan
ENG30-02586619-v,Vršiti vlast nad nekim; npr. o narodima.,['vladati'],"(0.0, 0.0)",positive,Negativan
ENG30-07204401-n,Čin odbijanja zahteva.,"['odbijanje', 'uskraćivanje']","(0.0, 0.0)",negative,Negativan
ENG30-15212455-n,Mesec koji dolazi posle jula a pre septembra.,"['avgust', 'kolovoz']","(0.0, 0.0)",positive,Neutralan
ENG30-06770275-n,iskaz (usmeni ili pisani) kojim se razmenjuju uzjamana obećanja,"['sporazum', 'dogovor']","(0.0, 0.0)",positive,Negativan
ENG30-14580897-n,Opipljiva materija koja ulazi u sastav fizičkih objekata.,"['građa', 'materija']","(0.0, 0.0)",positive,Neutralan
ENG30-05598147-n,organ čula mirisa i ulazak u respiratorni trakt; istaknuti deo lica kod ljudi i drugih sisara,"['nos', 'organ njuha']","(0.0, 0.0)",negative,Neutralan
ENG30-00094460-v,promeniti se (u pogledu fizičkih karakteristika i atributa),"['dobiti', 'doći u stanje', 'evoluirati', 'izgraditi', 'izgraditi se', 'narasti', 'postati', 'rasti', 'razvijati', 'razvijati se', 'razviti', 'razviti se', 'steći', 'usvojiti', 'zadobiti', 'zaraditi']","(0.0, 0.0)",positive,Neutralan
ENG30-11439690-n,bilo koji skup čestica (npr. dima ili prašine) ili gasova koji je vidljiv u vazduhu,['oblak'],"(0.0, 0.0)",negative,Neutralan
ENG30-00037396-n,Nešto urađeno (obično suprotno od nečeg rečenog).,"['akcija', 'radnja']","(0.0, 0.0)",positive,Negativan
ENG30-00171127-v,dodati modifikator nekom konstituentu,"['modifikovati', 'kvalifikovati']","(0.0, 0.0)",positive,Neutralan
ENG30-01064148-n,sloboda od bilo kakve aktivnosti (rada ili napora ili odgovornosti),"['mir', 'mirovanje', 'odmor', 'opuštanje', 'relaksacija', 'spokoj', 'spokojnost']","(0.0, 0.0)",negative,Neutralan
ENG30-04015204-n,odeću koja je namenjena zaštiti nosioca od povreda,"['oklop', 'pancir', 'zaštitna odeća']","(0.0, 0.0)",positive,nezakonichen
ENG30-05556943-n,Deo tela kičmenjaka između toraksa i karlice.,"['abdomen', 'stomak', 'trbuh', 'utroba']","(0.0, 0.0)",positive,Neutralan
ENG30-01048912-n,Čin držanja nečega u tajnosti.,"['skrivanje', 'sakrivanje', 'prikrivanje']","(0.0, 0.0)",negative,Negativan
ENG30-14708720-n,Bilo koji hidroksilno jedinjenje koje lako isparava dobijeno destilacijom hidrokarbonata.,['alkohol'],"(0.0, 0.0)",negative,Neutralan
ENG30-10024362-n,"Osoba, ne mora biti supružnik, sa kojom neko živi i duže vreme ima seksualne odnose.",['partner'],"(0.0, 0.0)",positive,Negativan
ENG30-04266660-n,Karta za igranje koja na licu ima simbol lista ili vrha koplja.,['pik'],"(0.0, 0.0)",negative,Neutralan
ENG30-00403249-b,Na značajan način.,"['značajno', 'važno']","(0.0, 0.0)",positive,Neutralan
ENG30-02156140-n,"oštar zakrivljen rožnati deo na prstima  ptica, nekih sisara i gmizavaca",['kandža'],"(0.0, 0.0)",negative,Negativan
ENG30-00583246-n,posebno zanimanje za koje ste obučeni,"['karijera', 'poziv', 'vokacija', 'zanimanje']","(0.0, 0.0)",positive,Neutralan
ENG30-02108654-v,primiti kao kaznu,"['dobijati', 'dobiti', 'ispaštati', 'isplaćivati', 'isplatiti', 'primati', 'primiti', 'zaraditi', 'zarađivati']","(0.0, 0.0)",positive,Negativan
ENG30-01129363-n,socijalizacija kroz obuku i obrazovanje,"['edukacija', 'kultivacija', 'kultura', 'obrazovanje']","(0.0, 0.0)",positive,Neutralan
ENG30-12397210-n,Biljka jakog mirisa od čijeg se osušenog lišća pravi mnogo halucinantnih droga; sirovina za tkaninu i užad.,"['hašiš', 'marihuana', 'belojka', 'Cannabis sativa']","(0.0, 0.0)",negative,negativan
ENG30-02387034-v,pripremiti (nekoga) za buduću ulogu ili dužnost,"['dresirati', 'iškolovati', 'izdresirati', 'obrazovati', 'obučavati', 'obučiti', 'osposobiti', 'osposobljavati', 'podučavati', 'podučiti', 'pripremati', 'pripremiti', 'školovati', 'spremati', 'spremiti', 'trenirati', 'upraviti', 'upravljati', 'usmeravati', 'usmeriti', 'vaspitati', 'vaspitavati']","(0.0, 0.0)",positive,nezakonичno
ENG30-00221178-n,prolivanje krvi koje za posledicu ima ubistvo,"['klanica', 'krvoproliće', 'masakr', 'pokolj']","(0.0, 0.0)",negative,Negativan
ENG30-08511570-n,Donji deo bilo čega.,['dno'],"(0.0, 0.0)",negative,Neutralan
ENG30-00602805-v,"proći trening ili obuku radi pripreme za određenu ulogu, funkciju ili profesiju","['dresirati', 'obrazovati', 'obučavati', 'obučiti', 'osposobiti', 'osposobljavati', 'podučavati', 'pripremiti', 'razviti', 'školovati', 'trenirati']","(0.0, 0.0)",positive,Neutralan
ENG30-05249636-n,Otvor ili rupa koja vodi u telesnu šupljinu.,['otvor'],"(0.0, 0.0)",negative,Neutralan
ENG30-02035781-v,ispraviti; ravnim učiniti,"['ispraviti', 'ispravljati', 'poravnati', 'poravnavati']","(0.0, 0.0)",positive,Neutralan
ENG30-02666943-n,Zgrada u kojoj se vrši likvidacija životinja radi proizvodnje mesa,['klanica'],"(0.0, 0.0)",negative,Negativan
ENG30-01064468-v,"Govoriti o nevažnim stvarima, brzo i neprekidno.","['brbljati', 'čavrljati', 'laprdati', 'torokati']","(0.0, 0.0)",negative,Negativan
ENG30-04850341-n,bilo šta u skladu sa principima pravde,"['dobro', 'ispravnost', 'pravednost', 'pravo']","(0.0, 0.0)",positive,Neutralan
ENG30-00953559-n,Neprijateljski susret suprotstavljenih vojnih snaga u toku rata.,"['bitka', 'boj', 'borba']","(0.0, 0.0)",negative,Negativan
ENG30-01193721-v,ispuniti do mere u kojoj ste zadovoljni,"['ispuniti', 'napuniti', 'napuniti se', 'popuniti', 'puniti se', 'zasititi se']","(0.0, 0.0)",positive,nezakonitan
ENG30-10078806-n,Neko ko poseduje farmu i radi na njoj.,"['seljak', 'poljoprivrednik', 'farmer']","(0.0, 0.0)",positive,Neutralan
ENG30-00004980-a,(koristi se za tekstove) koji je potpun,"['neskraćen', 'potpun']","(0.0, 0.0)",positive,Neutralan
ENG30-01071213-n,ublažavanje kazne ili oslobađanje od kakve neprijatne dužnosti od strane sudije ili roditelja ili nastavnika,"['blagost', 'milost', 'popustljivost']","(0.0, 0.0)",positive,Negativan
ENG30-01090446-n,delatnosti koje imaju za cilj snabdevanje artiklima,"['trgovina', 'promet']","(0.0, 0.0)",negative,Neutralan
ENG30-01128655-n,čin savladavanja ili potčinjavanja nekoga,"['autoritet', 'dominacija', 'kontrola', 'moć', 'ovladavanje', 'prevlast', 'sila', 'vlast']","(0.0, 0.0)",negative,Negativan
ENG30-00621627-n,Korišćenje fizičke i li mentalne energije; težak rad.,"['trud', 'napor', 'znoj']","(0.0, 0.0)",positive,Negativan
ENG30-05613625-n,"Sačinjavaju ga moralni principi, norme, moralni propisi. To je onaj sloj ličnosti koji je proizvod življenja u određenoj društvenoj sredini.","['superego', 'moral']","(0.0, 0.0)",positive,Neutralan
ENG30-01570935-v,Stisnuti nečiji vrat.,"['daviti', 'gušiti']","(0.0, 0.0)",negative,Negativan
ENG30-06339416-n,"Obraćanje koje označava status ili funkciju, npr. Gospođa ili General.","['titula', 'zvanje']","(0.0, 0.0)",positive,Neutralan
ENG30-02385153-v,izgubiti kakavu poziciju ili moć ,"['gubiti', 'izgubiti', 'padati', 'pasti']","(0.0, 0.0)",negative,Negativan
ENG30-03839795-n,Predmet koji stoji na putu (i mora se ukloniti ili preći ili zaobići).,"['prepreka', 'zapreka']","(0.0, 0.0)",negative,Neutralan
ENG30-03047071-a,o krštenju ili koje je u vezi sa krštenjem,"['kršteni', 'krsni']","(0.0, 0.0)",positive,Neutralan
ENG30-08521267-n,Prividna površina imaginarne sfere na kojoj izgleda kao da se nebeska tela projektuju.,"['nebeska sfera', 'nebo', 'nebesa', 'nebeski svod']","(0.0, 0.0)",positive,Neutralan
ENG30-09433442-n,Zemlja duž ruba neke vode (jezera ili okeana ili reke).,['obala'],"(0.0, 0.0)",positive,Neutralan
ENG30-08617963-n,najviša tačka planine ili uzvišenja,['vrh'],"(0.0, 0.0)",positive,Neutralan
ENG30-01302019-v,zadržavati ili sprečiti da ode,"['držati', 'zadržati', 'zadržavati']","(0.0, 0.0)",negative,Negativan
ENG30-03618219-n,Jedna od četiri karte iz špila na čijem je licu slika kralja.,['kralj'],"(0.0, 0.0)",positive,Negativan
ENG30-04157320-n,trodimenzionalni rad plastične umetnosti,"['skulptura', 'statua']","(0.0, 0.0)",positive,Neutralan
ENG30-01129920-n,Društvena snaga koja povezuje osobe sa njihovim obavezama i izaziva akcije koja snaga nalaže.,"['dužnost', 'obaveza']","(0.0, 0.0)",negative,Negativan
ENG30-08248157-n,Instrumentalisti uključujući gudače.,['orkestar'],"(0.0, 0.0)",positive,Neutralan
ENG30-09956147-n,Osoba koja je uticajna i sa kojom ste povezani na neki način (porodično ili poznanstvom).,['veza'],"(0.0, 0.0)",negative,pozitivan
ENG30-13940456-n,Najviši mogući nivo ili stepen.,"['vrhunac', 'kulminacija', 'vrh', 'klimaks', 'plafon']","(0.0, 0.0)",positive,Neutralan
ENG30-01465506-v,ređanje reči teksta tako da budu u skladu,['složiti'],"(0.0, 0.0)",positive,Neutralan
ENG30-00301840-b,s očajem,"['očajno', 'beznadežno']","(0.0, 0.0)",negative,Negativan
ENG30-14778436-n,Supstanca koja izaziva neki efekat ili vrši neki uticaj.,"['agens', 'sredstvo']","(0.0, 0.0)",positive,Neutralan
ENG30-05397333-n,Kanal kroz koji cirkulišu telesne tečnosti.,['sud'],"(0.0, 0.0)",negative,Neutralan
ENG30-00461755-b,na žalostan način,['žalosno'],"(0.0, 0.0)",negative,Negativan
ENG30-08078020-n,Socijalna jedinica koja živi zajedno.,"['porodica', 'familija', 'domaćinstvo']","(0.0, 0.0)",positive,Neutralan
ENG30-01127245-n,čin prisiljavanja silom ili autoritetom,"['nametanje', 'prinuda', 'prisila', 'prisiljavanje']","(0.0, 0.0)",negative,Negativan
ENG30-00597385-v,Imati potpuno razumevanje nečega; biti na vrhu u nekom domenu znanja.,['vladati'],"(0.0, 0.0)",positive,pozitivan
ENG30-13981137-n,Stanje konflikta između osoba.,"['sudar', 'trvenje']","(0.0, 0.0)",negative,Negativan
ENG30-03076708-n,Proizvodi s kojima se trguje.,['roba'],"(0.0, 0.0)",positive,Neutralan
ENG30-01185264-a,koji ima veliku relativnu gustinu,['gust'],"(0.0, 0.0)",negative,Neutralan
ENG30-14418662-n,Stanje kombinovanja u jedno telo.,"['spajanje', 'fuzija']","(0.0, 0.0)",positive,Neutralan
ENG30-02227487-v,okrenuti se od; odustati,"['manuti se', 'napuštati', 'napustiti', 'odreći se', 'odricati se', 'odustajati', 'odustati', 'ostaviti', 'ostavljati', 'predati', 'predavati', 'prepuštati', 'prepustiti', 'puštati', 'pustiti', 'ustupati', 'ustupiti']","(0.0, 0.0)",negative,Neutralan
ENG30-02509287-v,Staviti ograničenje; oraničiti pristup nečemu.,['ograničiti'],"(0.0, 0.0)",negative,Negativan
ENG30-06738281-n,izjava koja objašnjava,['objašnjenje'],"(0.0, 0.0)",negative,Neutralan
ENG30-00183090-b,(za naglašavanje značenja) izuzetno dobro,"['predivno', 'čudesno', 'sjajno', 'izvrsno', 'vrhunski', 'veličanstveno', 'izvanredno']","(0.0, 0.0)",positive,pozitivan
ENG30-04033425-n,Jedna od četiri karte iz špila na čijem je licu slika kraljice.,"['kraljica', 'dama']","(0.0, 0.0)",positive,Neutralan
ENG30-02368336-a,koji ima karakterističan ukus šećera,['sladak'],"(0.0, 0.0)",positive,Negativan
ENG30-02633714-v,nemati ili ne uključivati,"['isključiti', 'isključivati', 'izbaciti', 'izbacivati', 'izuzeti', 'izuzimati', 'nemati']","(0.0, 0.0)",negative,Neutralan
ENG30-04847298-n,osobina da se radi ono što je ispravno i da se izbegava ono što nije,"['čestitost', 'ispravnost', 'moralnost', 'vrlina']","(0.0, 0.0)",positive,Neutralan
ENG30-01129977-a,moralno primeran,"['častan', 'dobar', 'primeran', 'ugledan']","(0.0, 0.0)",positive,Negativan
ENG30-10521662-n,osoba koja istražuje i izveštava za medije,"['reporter', 'korespondent']","(0.0, 0.0)",positive,Neutralan
ENG30-00667463-a,koji se trenutno koristi ili je spreman za upotrebu,"['spreman', 'pripremljen']","(0.0, 0.0)",positive,Neutralan
ENG30-02137710-v,šta otkriti uklanjanjem poklopca,"['izlagati', 'izložiti', 'izneti na videlo', 'iznositi na videlo', 'otkriti', 'otkrivati']","(0.0, 0.0)",negative,Negativan
ENG30-13773250-n,Malo alkoholnog pića.,"['gutljaj', 'čašica', 'kapljica']","(0.0, 0.0)",negative,Neutralan
ENG30-02502037-v,"privremeno suspendovati (iz škole, kancelarije itd)",['suspendovati'],"(0.0, 0.0)",negative,Negativan
ENG30-01902568-n,čvrsta prirodna obloga nekih organizama,"['pokrivač', 'zaštitni omot', 'zaštitni omotač', 'zaštitni pokrivač']","(0.0, 0.0)",negative,Neutralan
ENG30-00421002-a,zamrljan prljavštinom i čađi,"['čađav', 'crn', 'prašnjav', 'prljav', 'uprašnjavljen', 'uprljan', 'zaprljan']","(0.0, 0.0)",negative,Negativan
ENG30-08459648-n,uzastopno poređan skup stvari ili događaja ili ideja u kome je svaki naredni član povezan sa prethodnim,"['niz', 'sled', 'lanac']","(0.0, 0.0)",positive,Neutralan
ENG30-04682462-n,mali kontrastni deo nečega,"['mrlja', 'pega']","(0.0, 0.0)",negative,Neutralan
BILI-00000429,Koji se odnosi na mozak.,['moždani'],"(0.0, 0.0)",positive,Negativan
ENG30-15042052-n,blato ili glina ili sitan kamen koje talože reka ili jezero,"['Alevrit', 'blato', 'mulj']","(0.0, 0.0)",negative,Neutralan
ENG30-02319050-v,koga odrati (po pitanju cene); za šta nerazumnu cenu tražiti,"['čerupati', 'drati', 'očerupati', 'odrati', 'opljačkati', 'tražiti', 'zatražiti']","(0.0, 0.0)",negative,Neutralan
ENG30-12641413-n,"Neko drvo koje rađa male, mesnate, okrugle plodove sa jednom tvrdom košticom; mnogi daju i cenjeno tvrdo drvo za građu.",['trešnja'],"(0.0, 0.0)",positive,pozitivan
ENG30-01468576-v,Naterati na odlazak sa nekog mesta.,"['izbaciti', 'isključiti', 'isključivati', 'isterati']","(0.0, 0.0)",negative,Negativan
ENG30-14298247-n,stanje organizma kada prestaje disanje zbog kompresije respiratornih organa,"['strangulacija', 'gušenje', 'strangulatio']","(0.0, 0.0)",negative,Negativan
ENG30-00295701-n,Čin odlaženja iz jednog mesta u drugo.,"['put', 'putovanje']","(0.0, 0.0)",positive,Negativan
ENG30-05700793-n,stanje duboke obuzetosti,"['sanjarija', 'maštarija', 'fantazija']","(0.0, 0.0)",positive,Negativan
ENG30-02395003-n,"Životinja snažnog tela, kratkih nogu, svaštojed, telo je obraslo čekinjama.","['čekinjaš', 'svinja']","(0.0, 0.0)",negative,Negativan
ENG30-07339329-n,Fizičko spajanje dve ili više stvari.,"['kontakt', 'udar']","(0.0, 0.0)",negative,Neutralan
ENG30-00830051-a,visoko obrazovan; koji je odlično informisan i uživa puno razumijevanje,"['dobro upućen', 'načitan', 'obrazovan', 'prosvetljen', 'učen', 'upućen']","(0.0, 0.0)",positive,nezakonичan
ENG30-00470701-v,Usmrtiti u velikom broju.,"['uništiti', 'pokositi', 'desetkovati', 'iskoreniti', 'zatrti']","(0.0, 0.0)",negative,Negativan
ENG30-02749247-v,za šta ukras biti,"['dekorisati', 'iskititi', 'kititi', 'resiti', 'ukrašavati', 'ukrasiti', 'uresiti']","(0.0, 0.0)",negative,Neutralan
ENG30-06604548-n,dvosmislenost (posebno u tekstu zakona ili ugovora) koja omogućava da se kakva teškoća ili obaveza izbegne,['rupa'],"(0.0, 0.0)",negative,Neutralan
ENG30-02796623-n,Struktura ili objekat koji sprečava slobodno kretanje.,"['barijera', 'pregrada']","(0.0, 0.0)",negative,Negativan
ENG30-00912473-v,Govoriti glasno.,"['vikati', 'galamiti']","(0.0, 0.0)",negative,Negativan
ENG30-14434681-n,istaknuti status,"['eminencija', 'istaknutost', 'prominentnost', 'reputacija', 'ugled', 'uvaženost', 'važnost', 'veličina']","(0.0, 0.0)",positive,Negativan
ENG30-00094460-v,promeniti se (u pogledu fizičkih karakteristika i atributa),"['dobiti', 'doći u stanje', 'evoluirati', 'izgraditi', 'izgraditi se', 'narasti', 'postati', 'rasti', 'razvijati', 'razvijati se', 'razviti', 'razviti se', 'steći', 'usvojiti', 'zadobiti', 'zaraditi']","(0.0, 0.0)",positive,Neutralan
ENG30-04144782-n,grafička umetnost koja se sastoji od grafičke ili fotografske reprezentacije kakve vizuelne percepcije,"['fotografija', 'scena', 'scenografija', 'slika', 'snimak']","(0.0, 0.0)",negative,Neutralan
ENG30-06261260-n,Kanal za komunikaciju između grupa.,"['kontakt', 'veza']","(0.0, 0.0)",negative,Neutralan
ENG30-00050297-b,na veseo način,"['srećno', 'raspoloženo', 'sa srećom']","(0.0, 0.0)",positive,Neutralan
ENG30-00478830-v,"označiti za brisanje, obrisati ili izbrisati","['brisati', 'izbrisati', 'obrisati']","(0.0, 0.0)",negative,Negativan
ENG30-07577374-n,lagan neformalni obrok,"['zalogaj', 'užina']","(0.0, 0.0)",negative,Neutralan
