ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa,sentiment_sa_sample_group
ENG30-08643933-n,sigurno mesto,"['utočište', 'pribežište']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-14438898-n,povoljna javna reputacija,"['dobar glas', 'obožavanje', 'popularnost', 'respekt', 'slava', 'ugled']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-14437976-n,visok stepen poštovanja stečen impresivnim poduhvatima ili postignućima,"['divljenje', 'poštovanje', 'respekt', 'uvažavanje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-04829282-n,sklonost da se bude ljubazan i milostiv,"['milosrđe', 'milosrdnost', 'milost', 'milostivost', 'samilost', 'velikodušnost']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-04487996-n,Nešto što se daje u znak pobede.,"['trofej', 'odličje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00418364-a,potpuno uredan i čist,"['besprekoran', 'čist', 'neumrljan', 'uredan']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-02856286-a,o vrsti pesništva koje izražava emocije (često u vidu pesme) ili koji je povezan sa takvim pesništvom,['lirski'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00169955-a,onaj koji deluje poput magneta; poseduje sposobnost da namami i privuče;,['privlačan'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-04829282-n,sklonost da se bude ljubazan i milostiv,"['milosrđe', 'milosrdnost', 'milost', 'milostivost', 'samilost', 'velikodušnost']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-03661861-n,rekreativni objekat koji uključuje bazen za vodene sportove,['bazen'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-02729965-n,uređaj koji je veoma koristan za određeni posao,"['alat', 'aparat', 'gadžet', 'kucni aparat', 'mašina', 'naprava', 'pribor', 'sprava', 'sredstvo']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-03135152-n,krst kao znamenje hrišćanstva,['krst'],"(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-00180413-n,čin prihvatanja i odobravanja; povoljan prijem,"['prihvatanje', 'tolerancija', 'usvajanje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-11454591-n,izdizanje vodene mase i njeno prelivanje na zemljište koje je obično suvo,"['aluvij', 'aluvijon', 'izlivanje', 'poplava', 'potapanje', 'potop', 'prelivanje']","(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-04829282-n,sklonost da se bude ljubazan i milostiv,"['milosrđe', 'milosrdnost', 'milost', 'milostivost', 'samilost', 'velikodušnost']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01983162-a,koji zaslužuje uvažavanje i poštovanje,"['častan', 'dobar', 'dobronameran', 'moralan', 'pošten', 'poštovan', 'pouzdan', 'siguran', 'ugledan', 'uredan', 'uvažen']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01129977-a,moralno primeran,"['častan', 'dobar', 'primeran', 'ugledan']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-14435445-n,status velike uvaženosti zbog istaknute superiornosti,"['eminencija', 'istaknutost', 'odlika', 'prominentnost', 'reputacija', 'ugled', 'uvaženost']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-07906284-n,žestoko piće dobijeno fermentacijom žitarica,['viski'],"(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-04634540-n,preplavljen entuzijazmom,"['elan', 'energičnost', 'entuzijazam', 'polet', 'uzbuđenje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-09622302-n,osoba koja voli ili je voljena,"['ljubavnik', 'ljubavnica']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00035465-a,Pun aktivnosti ili uključen u neprestane aktivnosti.,['aktivan'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00309647-n,Putovanje organizovano sa specijalnim ciljem.,['ekspedicija'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00505410-a,toliko eminentan da je iznad svakog poređenja,"['besprekoran', 'jedinstven', 'neprocenjiv', 'neuporediv']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00747671-n,neumorno udovoljavanje telesnim apetitima,"['blagoutrobije', 'proždrljivost']","(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-00272950-a,"of summer nights in northern latitudes where the sun barely sets; ""white nights""",['beo'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-14438898-n,povoljna javna reputacija,"['dobar glas', 'obožavanje', 'popularnost', 'respekt', 'slava', 'ugled']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-04831727-n,Osobina nekog ko je voljan da podari novac ili vreme.,"['velikodušnost', 'darežljivost']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-07452251-n,bogata i spektakularna ceremonija,"['ceremonija', 'parada', 'povorka']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00748307-n,raspojasano zadovoljavanje čulnih prohteva,"['blud', 'ekstravagancija', 'proždrljivost', 'raspojasanost', 'razuzdanost', 'razvrat']","(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-00249501-n,postepeno poboljšanje ili rast ili razvoj,"['napredak', 'napredovanje', 'progres', 'unapređenje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-14435445-n,status velike uvaženosti zbog istaknute superiornosti,"['eminencija', 'istaknutost', 'odlika', 'prominentnost', 'reputacija', 'ugled', 'uvaženost']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-07068900-n,zadovoljstvo sopstvenim (ili tuđim) dostignućima,['ponos'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00866505-v,dati nekome blagoslov,"['blagosloviti', 'blagosiljati']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-12301180-n,"Zimzeleno drvo sa Mediterana, gaji se od najstarijih vremena; rađa sjajan crni jestivi plod.","['maslina', 'uljika', 'Olea europaea']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00913551-a,koji ima zelenilo tokom cele godine (o biljkama),['zimzelen'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-05697363-n,Sloboda od sumnje; vera u sebe i svoje sposobnosti.,"['samouverenost', 'samopouzdanje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-14435445-n,status velike uvaženosti zbog istaknute superiornosti,"['eminencija', 'istaknutost', 'odlika', 'prominentnost', 'reputacija', 'ugled', 'uvaženost']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01037819-n,Hrišćanska sveta tajna koja znači ponovno duhovno rođenje.,['krštenje'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-04833276-n,kvalitet nesebičnog staranja za dobrobit drugih,"['altruizam', 'nesebičnost', 'velikodušnost']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01227908-n,čin pokazivanja poštovanja prema drugima,"['ljubaznost', 'pristojnost']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01150938-n,čin pristajanja (kao što je pristupanje čijim zahtevima),"['pristajanje', 'pristanak']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-06406317-n,"kratka poruka (kao u knjizi, muzičkom delu ili na fotografiji) posvećena nekom ili nečemu",['posveta'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00654885-n,Rad koji uključuje brigu i pažnju o nekome ili neyemu.,"['nega', 'staranje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-02108672-n,"Jak, nabjen pas kratke dlake sa velikom glavom i jakom spljoštenom donjom vilivom; vrsta razijena u Engleskoj radi nahuškavanja bikova.","['buldog', 'engleski buldog']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00561664-a,zadovoljan; koji uživa u blagostanju i zadovoljstvu,['srećan'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01111016-a,Voljan da podari ili podeli.,"['velikodušan', 'darežljiv']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-06170498-n,"izučavanje tehnika i pravila ya efikasno korišćenje jezika, posebno ya javne nastupe","['retorika', 'govorništvo']","(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-14437552-n,"stanje kada je neko izuzetno uvažen (cenjen, poštovan ili na dobrom glasu)","['divljenje', 'dobar glas', 'poštovanje', 'reputacija', 'respekt', 'uvažavanje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01214171-n,aktivna podrška; naročito čin zauzimanja i argumentovanja u korist koga ili čega,"['advokatura', 'odbrana', 'zauzimanje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01111016-a,Voljan da podari ili podeli.,"['velikodušan', 'darežljiv']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-10407310-n,onaj koji voli i brani svoju zemlju,"['domoljub', 'patriota', 'rodoljub']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01177327-n,"odbijanje da prihvati neki autoritet, kod ili konvencija","['buna', 'neposlušnost', 'pobuna', 'revolt', 'revolucija', 'ustanak']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00745943-n,loše i okrutno ponašanje,"['nemilosrdnost', 'neumoljivost', 'okrutnost', 'surovost']","(0.0, 0.0)",negative,Negativan,Negativan
BILI-00000941,"Glasno izražavati žalost, zapevati, tužiti.",['naricati'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-07435533-n,rasprostranjeno širenje infektivne bolesti; mnogo ljudi je zaraženo istovremeno,['epidemija'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00223983-n,divljačko i prekomerno ubijanje mnogih ljudi,"['klanica', 'klanje', 'krvoproliće', 'masakr', 'pokolj']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00421590-a,odvratno prljav; prekriven ili zamazan kakvom odvratnom tvari,"['gadan', 'išaran', 'neprijatan', 'odbojan', 'odvratan', 'otužan', 'prašnjav', 'prljav', 'uprašnjavljen', 'uprljan', 'zaprljan']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00234390-v,ograničiti (školarcima) pravo kretanja na spavaonicu ili kampus kao kaznu,['kazna'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-07277158-n,deo rukopisa koji je kopiran od nekog drugog i predstavljen kao sopstven rad,['plagijat'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-14298247-n,stanje organizma kada prestaje disanje zbog kompresije respiratornih organa,"['strangulacija', 'gušenje', 'strangulatio']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-14475661-n,stanje nesreće ili nevolje,"['nedaća', 'nesreća', 'nevolja', 'tegoba', 'teškoća']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00770543-n,čin koji zanemaruje kakav raniji dogovor ili čije pravo,"['kršenje', 'napad', 'nepoštovanje', 'povreda', 'prekršaj', 'prestup']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-03064758-n,kutija u kojoj je leš pokopan ili kremiran,"['kovčeg', 'mrtvački kovčeg', 'sanduk']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01570935-v,Stisnuti nečiji vrat.,"['daviti', 'gušiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01989562-v,uzrokovati da šta pukne,"['razbijati', 'razbiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-10210137-n,"osoba koja uzima učešća u oružnaoj pobuni protiv vlasti, posebno u uverenju da će popraviti društvo","['pobunjenik', 'borac za slobodu']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01468576-v,Naterati na odlazak sa nekog mesta.,"['izbaciti', 'isključiti', 'isključivati', 'isterati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01134781-v,ispaliti pucanj,"['ispaliti', 'pucati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00800750-v,Skinuti sa spiska.,"['precrtati', 'izbrisati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00403092-n,Čin oštećivanja nečega ili nekoga.,"['šteta', 'zlo', 'povreda']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00746866-n,"iskvaren, izopačen ili perverzan čin ili navika","['degeneracija', 'dekadencija', 'izopačenje', 'izopačenost', 'perverzija', 'perverznost']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02235229-v,Odreći se vlasništva ili kontrole.,"['ustupiti', 'predati', 'prepustiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-14440623-n,nisko stanje sklono padu naniže,"['degradacija', 'dekadencija', 'opadanje', 'poniženje', 'propadanje', 'unižavanje']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01126360-v,Umarširati agresivno na nečiju teritoriju vojnim snagama da bi se ona zauzela ili okupirala.,['okupirati'],"(0.0, 0.0)",positive,Negativan,Negativan
ENG30-00358089-n,Čin gnječenja.,"['gnječenje', 'drobljenje']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01654271-v,Napraviti kopiju s namerom da se neko prevari.,"['falsifikovati', 'krivotvoriti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00824767-v,grditi strogo ili ljutito,"['grditi', 'izgrditi', 'koriti', 'kritikovati', 'prekoravati', 'prekoriti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00232386-n,Čin otkazivanja; opozivanje nekog dogovora.,['otkaz'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01119169-v,"Pokrenuti napad ili uvredu na nekoga; početi sa neprijateljstvom, kao u slučaju rata.","['napasti', 'navaliti na koga', 'nasrnuti', 'navaliti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-04850589-n,kvalitet neusklađenosti sa standardima prava ili dobrog ponašanja,"['nemoral', 'nemoralnost', 'nepravednost', 'nepravičnost', 'zlo']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02506546-v,Prisiliti ili obavezati nekoga da uradi nešto.,"['obavezati', 'primorati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00756331-n,čije pretvaranje da je druga osoba,"['gluma', 'glumatanje', 'imitacija', 'imitiranje', 'izigravanje', 'oponašanje', 'podražavanje', 'pretvaranje']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02585050-v,pokušati uzavreti javno mnjenje,"['buditi', 'drmati', 'probuditi', 'prodrmati', 'protresti', 'razbuditi', 'razmrdati', 'tresti', 'uspaliti', 'zapaliti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00733483-n,ulazak na tuđi posed bez prava ili dozvole,"['invazija', 'upad', 'upadanje', 'uzurpacija']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-04842313-n,kvalitet pretećeg zla,"['pakost', 'zlo', 'zlokobnost', 'zlonamernost']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00550117-v,napustiti ili zameniti nečim drugim,"['prebaciti se', 'preći']","(0.0, 0.0)",positive,Negativan,Negativan
ENG30-01123887-v,"napraviti strateški, agresivan napad na neprijatelja, protivnika ili metu","['napadati', 'napasti', 'udarati', 'udariti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00222248-n,ubijanje osobe ili životinje,"['egzekucija', 'klanje', 'pogubljenje', 'ubijanje', 'ubistvo']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00748282-v,nametnuti nešto neprijatno,"['nametati', 'nametnuti', 'naneti', 'naneti bol', 'nanositi']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02041877-v,raspasti se; i u prenesenom značenju,"['srušiti se', 'kolabirati', 'propasti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00206130-n,odbijanje kakve grupe da učestvuje u trgovačkim transakcijama sa nekim organizacijama u znak protesta protiv politike tih organizacija,['bojkot'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02227487-v,okrenuti se od; odustati,"['manuti se', 'napuštati', 'napustiti', 'odreći se', 'odricati se', 'odustajati', 'odustati', 'ostaviti', 'ostavljati', 'predati', 'predavati', 'prepuštati', 'prepustiti', 'puštati', 'pustiti', 'ustupati', 'ustupiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00739270-n,Nesposobnost delovanja s razboritosćću koje bi ispoljila razumna osoba pod istim uslovima.,"['nepažnja', 'nemar']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-10527334-n,radikalni pristalica političke ili društvene revolucije,['revolucionar'],"(0.0, 0.0)",positive,Negativan,Negativan
ENG30-13973059-n,Stanje bezvlašća i nereda (obično kao rezultat pada vlade).,"['anarhija', 'bezakonje']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-14475661-n,stanje nesreće ili nevolje,"['nedaća', 'nesreća', 'nevolja', 'tegoba', 'teškoća']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01258302-v,svaliti (kao stabla i ljude),"['oboriti', 'srušiti', 'poseći']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01760300-v,"provocirati odgovore, kao prigovore, kritiku, aplauz itd.","['izazvati', 'požeti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00203342-n,Čin odbijanja nečega.,['odbijanje'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01880673-v,šta poručivati udaranjem (npr. prstima ili palicama),"['bubnjati', 'dobovati', 'kucati', 'kuckati', 'lupati', 'lupkati', 'pokucati', 'tući', 'udarati', 'udariti', 'zabubnjati', 'zakucati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02505358-v,"prisiliti ili privoleti ili neprestano terati ili prisiljujući pritisak vršiti, ili snažno motivisati","['motivisati', 'naterati', 'podstaći', 'podstaknuti', 'podsticati', 'primorati', 'primoravati', 'prinuditi', 'privoleti', 'privoljavati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-09503282-n,osoba (obično žena) za koju se smtra da ima posebne moći koje potiču od đavola,['veštica'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-09930876-n,osoba koja zabavlja druge blesavim ponašanjem,"['klovn', 'luda']","(0.0, 0.0)",positive,Negativan,Negativan
ENG30-00201407-v,umetnuti reči i time falsifikovati ceo tekst,"['intervenisati', 'falsifikovati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02949691-n,"Najrasprostranjenija nedozvoljana droga, smatra se lakom drogom; sastoji se od suvog lišća idijske konplje; puši se i žvaće,.","['marihuana', 'trava']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-13457378-n,promena ka nečemu manjem ili nižem,"['smanjenje', 'pad']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-03592245-n,kazneno-popravna ustanova koja se koristi za zadržavanje lica koja su pod zakonskim nadzorom vlade (bilo optuženi koji čekaju suđenje ili osuđene osobe na izdržavanju kazne),"['ćorka', 'tamnica', 'zatvor']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-06883725-n,zvanični simbol Nacističke partije i Trećeg Rajha; krst kod koga su kraci (kao ruke) pod pravim uglom u pravcu časovnika,"['svastika', 'kukasti krst']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01480149-v,"Uhvatiti lovljenjem, mamcima ili zamkama.","['uloviti', 'uhvatiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00221056-n,Ubistvo javne ličnosti iznenadnim napadom.,['atentat'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00222248-n,ubijanje osobe ili životinje,"['egzekucija', 'klanje', 'pogubljenje', 'ubijanje', 'ubistvo']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00479060-v,Ubiti potapanjem u vodu.,['udaviti'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00089351-n,Dobijanje nečeg nazad.,"['povratak', 'povraćaj', 'restauracija']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01220336-n,oštar napad na čiju ličnost ili dobro ime,"['kleveta', 'klevetanje', 'omalovažavanje']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02573275-v,lišiti nekoga nečega zahvaljujući obmani,"['prevariti', 'zavarati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01880673-v,šta poručivati udaranjem (npr. prstima ili palicama),"['bubnjati', 'dobovati', 'kucati', 'kuckati', 'lupati', 'lupkati', 'pokucati', 'tući', 'udarati', 'udariti', 'zabubnjati', 'zakucati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00306017-v,"Prasnuti, obično uz buku.","['puknuti', 'eksplodirati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01099592-v,nemati uspeha u postizanju pobede,"['gubiti', 'izgubiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00737070-n,čin neprikladne intimnosti,"['familijarnost', 'intimiziranje', 'intimnost', 'nepodobnost', 'sloboda']","(0.0, 0.0)",positive,Negativan,Negativan
BILI-00000025,Otac jednog supružnika prema drugom supružniku.,['prijatelj'],"(0.0, 0.0)",positive,Negativan,Negativan
ENG30-02304507-v,biti zarobljen,"['biti okupiran', 'biti zauzet', 'biti zauziman', 'padati', 'pasti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01116447-v,prestati opirati se; prestati boriti se,"['dati kome prvenstvo', 'dopuštati', 'dopustiti', 'odustajati', 'odustati', 'popuštati', 'popustiti', 'predati se', 'predavati se', 'prepuštati', 'prepustiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00737070-n,čin neprikladne intimnosti,"['familijarnost', 'intimiziranje', 'intimnost', 'nepodobnost', 'sloboda']","(0.0, 0.0)",positive,Negativan,Negativan
ENG30-00378664-v,uništiti vatrom,"['paliti', 'sagoreti', 'sagorevati', 'sažeći', 'spaliti', 'spržiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02707800-v,"opirati se, pogotovo na zbunjujuć način","['odbijati', 'odbiti', 'odoleti', 'odolevati', 'odupirati se', 'odupreti se', 'prkositi']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02034300-v,"Skrenuti sa pravog kursa, utvrđenog smera ili interesa.","['skrenuti', 'odstupiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00120784-a,biti ili imati nepoznat ili neimenovan izvor,"['neidentifikovan', 'neimenovan', 'neodređen', 'nepoznat', 'nespecifikovan', 'skriven']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-05669797-n,kakva praksa koja se tradicijom prenela iz prošlosti,"['baština', 'nasleđe', 'tradicija']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-05548840-n,Deo tela između vrata i nadlaktice.,['rame'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-03671272-n,put koji se sastoji od pruge i šina,"['pruga', 'šine', 'železnica', 'železnička linija']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-00125629-n,Čin udaranja jedne stvari drugom.,['udaranje'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00604930-v,biti zamena ili rezerva za kakvu ulogu,"['rezerva', 'zamena']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
