ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa
ENG30-06604548-n,dvosmislenost (posebno u tekstu zakona ili ugovora) koja omogućava da se kakva teškoća ili obaveza izbegne,['rupa'],"(0.0, 0.0)",negative,Neutralan
ENG30-00421875-a,"ogavan, pregažen, odvratan","['odvratan', 'ogavan']","(0.0, 0.0)",negative,Negativan
ENG30-14435445-n,status velike uvaženosti zbog istaknute superiornosti,"['eminencija', 'istaknutost', 'odlika', 'prominentnost', 'reputacija', 'ugled', 'uvaženost']","(0.0, 0.0)",positive,Negativan
ENG30-02041085-n,Vodena ptica sa dugim krilima i opnama na stopalima za plivanje.,['galeb'],"(0.0, 0.0)",negative,Neutralan
ENG30-05217168-n,Razna imena za telo ljudskog bića.,"['anatomija', 'figura', 'oblik', 'čovekovo telo']","(0.0, 0.0)",positive,Neutralan
ENG30-05793554-n,Osnovne pretpostavke koje leže ispod objašnjenja.,"['osnova', 'temelj', 'fundament']","(0.0, 0.0)",negative,Neutralan
ENG30-00103834-n,Čin primene sile da nešto pogoni.,"['sila', 'pogon', 'snaga']","(0.0, 0.0)",positive,Negativan
ENG30-09930876-n,osoba koja zabavlja druge blesavim ponašanjem,"['klovn', 'luda']","(0.0, 0.0)",positive,Negativan
ENG30-00620424-n,radnja mesara,"['klanica', 'mesara', 'mesarija']","(0.0, 0.0)",negative,Neutralan
ENG30-00602805-v,"proći trening ili obuku radi pripreme za određenu ulogu, funkciju ili profesiju","['dresirati', 'obrazovati', 'obučavati', 'obučiti', 'osposobiti', 'osposobljavati', 'podučavati', 'pripremiti', 'razviti', 'školovati', 'trenirati']","(0.0, 0.0)",positive,Neutralan
ENG30-01076046-n,Čin zaustavljanja nečega.,"['zaustavljanje', 'blokada']","(0.0, 0.0)",negative,Negativan
ENG30-06650701-n,Uputstvo ili savet po pitanju odluke ili toka radnje,"['savet', 'uputstvo']","(0.0, 0.0)",positive,Neutralan
ENG30-01216004-v,šta čvrsto držati,"['držati', 'grabiti', 'zadržati', 'zgrabiti']","(0.0, 0.0)",negative,Neutralan
ENG30-02807731-n,prostorija (u nastambi) koja sadrži kadu ili tuš i obično lavabo i toalet,"['kupatilo', 'kupaonica']","(0.0, 0.0)",positive,Neutralan
ENG30-00912001-n,Čin konstruisanja nečega (kao masšinskog dela).,"['sklapanje', 'proizvodnja']","(0.0, 0.0)",positive,Negativan
ENG30-13384877-n,Zvanična valuta koju izdaje vlada ili nacionalna banka.,"['novac', 'moneta', 'novčanica']","(0.0, 0.0)",positive,Neutralan
ENG30-00598954-v,"upoznati nešto ili postati nečega svestan, obično slučajno","['čuti', 'naći', 'naučiti', 'opaziti', 'otkriti', 'saznati', 'shvatiti', 'studirati', 'učiti', 'uočiti', 'utvrditi', 'videti']","(0.0, 0.0)",positive,Neutralan
ENG30-02738031-n,oružje koje koriste vojne ili pomorske snage,"['naoružanje', 'oružje']","(0.0, 0.0)",negative,Negativan
ENG30-07242104-n,formalno predstavljanje predloga i suprotstavljanje dotičnom predlogu (obično pre glasanja),"['debata', 'rasprava']","(0.0, 0.0)",positive,Neutralan
ENG30-01014609-v,dati dodatnu težinu (kakvoj razmeni),"['istaći', 'istaknuti', 'isticati', 'naglašavati', 'naglasiti', 'podvlačiti', 'podvući']","(0.0, 0.0)",positive,Neutralan
ENG30-00067526-n,Čin gubljenja.,"['gubitak', 'gubljenje']","(0.0, 0.0)",negative,Negativan
ENG30-08681222-n,Opšta linija orijentacije.,['tok'],"(0.0, 0.0)",positive,Neutralan
ENG30-01432601-v,"Držati na leđima i prenositi; nositi darove; i sa imenicama komunikacije: ""prenositi vesti""; ""prenositi naređenja"".","['nositi', 'prenositi']","(0.0, 0.0)",negative,Neutralan
ENG30-01887576-v,Kretati se glatko i bez muke.,"['kliziti', 'klizati']","(0.0, 0.0)",positive,Pozitivan
ENG30-00548616-v,prebaciti se sa jednog nivoa na drugi,"['prebaciti se', 'preći']","(0.0, 0.0)",positive,Neutralan
ENG30-02547317-a,Koji je pokriven ili natopljen tečnošću kao što je voda.,['vlažan'],"(0.0, 0.0)",negative,Neutralan
ENG30-04191595-n,Struktura koja pruža privatnost i zaštitu od opasnosti.,"['zaklon', 'sklonište']","(0.0, 0.0)",positive,Neutralan
ENG30-01839404-a,Prostorni osećaj; biti ili postojati na određenom mestu.,['prisutan'],"(0.0, 0.0)",positive,Neutralan
ENG30-02474603-v,izvršiti obred potvrđivanja,['potvrditi'],"(0.0, 0.0)",positive,Neutralan
ENG30-04634540-n,preplavljen entuzijazmom,"['elan', 'energičnost', 'entuzijazam', 'polet', 'uzbuđenje']","(0.0, 0.0)",positive,Pozitivan
ENG30-00745943-n,loše i okrutno ponašanje,"['nemilosrdnost', 'neumoljivost', 'okrutnost', 'surovost']","(0.0, 0.0)",negative,Negativan
ENG30-01223182-v,prevesti u spiralni oblik,"['deformirati', 'deformisati', 'iskriviti', 'izobličiti', 'izvrnuti', 'izvrtati', 'savijati', 'saviti', 'uvrnuti', 'uvrtati']","(0.0, 0.0)",negative,Neutralan
ENG30-01717016-v,"U umetnosti stvoriti sliku nečega, ili sličnost sa nečim.","['predstaviti', 'stvoriti sliku']","(0.0, 0.0)",positive,Neutralan
ENG30-00954086-n,ratna akcija kojom se izoluje neko područje od značaja za neprijatelja,"['blokada', 'opkoljavanje']","(0.0, 0.0)",negative,Negativan
ENG30-07609840-n,Jelo koje se poslednje servira u obroku.,"['desert', 'poslastica']","(0.0, 0.0)",positive,Neutralan
ENG30-14428160-n,relativna pozicija ili stepen vrednosti u ocenjivanoj grupi,"['klasa', 'nivo', 'ocena', 'rang', 'stepen']","(0.0, 0.0)",positive,Neutralan
ENG30-04829550-n,ljudski kvalitet razumevanja patnje drugih i želje da se nešto u vezi s tim uradi,"['saosećanje', 'saučešće', 'sažaljenje', 'sućut']","(0.0, 0.0)",negative,Negativan
ENG30-00303849-n,Spuštanje padobranom.,"['skok', 'padobranstvo']","(0.0, 0.0)",positive,Negativan
ENG30-01697986-v,o izrazima ili rečima,['skovati'],"(0.0, 0.0)",positive,Neutralan
ENG30-05752544-n,Saznajni proces usvajanja veštine ili znanja.,"['učenje', 'sticanje znanja']","(0.0, 0.0)",positive,Neutralan
ENG30-00222376-n,čin sečenja nečega (kao drvo),"['obaranje', 'seča']","(0.0, 0.0)",negative,Negativan
ENG30-00381013-v,Promeniti s jednog sistema na drugi ili s novog plana na drugi.,"['konvertovati', 'pretvoriti']","(0.0, 0.0)",positive,Neutralan
ENG30-07058296-n,Muzički žanr napisan za marširanje.,['marš'],"(0.0, 0.0)",positive,Neutralan
ENG30-00596081-n,"Voćka mala ili srednj veličine, okrugla ili ovalna, s glatkom korom i jednom košticom.",['šljiva'],"(0.0, 0.0)",positive,Neutralan
ENG30-06144081-n,grana antropologije koja proučava praistorijske ljude i njihovu kulturu,['arheologija'],"(0.0, 0.0)",positive,Neutralan
ENG30-09472597-n,planina koja je nastala od vulkanskog materijala,"['vulkan', 'vulkanska planina']","(0.0, 0.0)",negative,Neutralan
ENG30-03406966-n,dugi plitki rov u zemlji (posebno onaj koji je napravio plug),"['bora', 'brazda', 'usek']","(0.0, 0.0)",negative,Negativan
ENG30-02240151-v,"u vezi sa humanitarnom pomoći, uslugama itd.","['osigurati', 'obezbediti']","(0.0, 0.0)",positive,Neutralan
ENG30-13378518-n,Novac koji stoji na pozajmicu klijentu.,['kredit'],"(0.0, 0.0)",positive,Negativan
ENG30-02034300-v,"Skrenuti sa pravog kursa, utvrđenog smera ili interesa.","['skrenuti', 'odstupiti']","(0.0, 0.0)",negative,Neutralan
ENG30-06351613-n,svaki sistem pisanih znakova,['pismo'],"(0.0, 0.0)",negative,Neutralan
ENG30-09636339-n,a person with dark skin who comes from Africa (or whose ancestors came from Africa),['crn'],"(0.0, 0.0)",negative,Negativan
ENG30-00177448-n,"sredstvo za postizanje nekog cilja, koje ne mora nužno da bude principijelno ili etički ispravno",['sredstvo'],"(0.0, 0.0)",positive,Negativan
ENG30-00118523-v,produžiti postojanje na duži vremenski period,"['nastaviti', 'održati', 'produžiti']","(0.0, 0.0)",positive,Neutralan
ENG30-02309165-v,fizički dati ili preneti,"['darivati', 'darovati', 'dati', 'davati', 'doneti', 'donositi', 'naneti', 'nanositi', 'poklanjati', 'pokloniti', 'predati', 'predavati', 'primeniti', 'primenjivati', 'pružati', 'pružiti', 'uručiti', 'uručivati', 'zadati', 'zadavati']","(0.0, 0.0)",negative,Neutralan
ENG30-01215421-v,"Uspeti u hvatanju nekoga, kao zločinca.","['uhvatiti', 'uloviti']","(0.0, 0.0)",negative,Negativan
ENG30-08459648-n,uzastopno poređan skup stvari ili događaja ili ideja u kome je svaki naredni član povezan sa prethodnim,"['niz', 'sled', 'lanac']","(0.0, 0.0)",positive,Neutralan
ENG30-00230444-b,koji pokazuje odobravanje,"['povoljno', 'pogodno']","(0.0, 0.0)",positive,Neutralan
ENG30-08108972-n,Taksonomska grupa koja sadrži jednu ili više vrsta.,['rod'],"(0.0, 0.0)",positive,Neutralan
ENG30-04033425-n,Jedna od četiri karte iz špila na čijem je licu slika kraljice.,"['kraljica', 'dama']","(0.0, 0.0)",positive,Neutralan
ENG30-09947232-n,osoba koja profesionalno komponuje muziku,['kompozitor'],"(0.0, 0.0)",positive,Neutralan
ENG30-00020410-a,onaj koji je smešten na lokaciji kojoj se ne može pristupiti,"['nepristupačan', 'nedostižan']","(0.0, 0.0)",negative,Negativan
ENG30-13771404-n,mala količina tečnosti,"['kap', 'kapljica']","(0.0, 0.0)",negative,Neutralan
ENG30-09622928-n,Voljena osoba; koristi se u izrazima od milja.,"['voljeni', 'voljena', 'dragan', 'dragana', 'ljubav', 'cakan', 'cakana']","(0.0, 0.0)",positive,Neutralan
ENG30-02560164-v,obezbediti poštovanje zakona i pravila,"['implementirati', 'izvršavati', 'izvršiti', 'nametati', 'nametnuti', 'primeniti', 'primenjivati', 'sprovesti', 'sprovesti silom', 'sprovoditi', 'sprovoditi silom']","(0.0, 0.0)",negative,Neutralan
ENG30-00891224-v,Učiniti svetim pomoću religijskih obreda.,"['posvetiti', 'posvećivati', 'svetiti']","(0.0, 0.0)",positive,Negativan
ENG30-08511570-n,Donji deo bilo čega.,['dno'],"(0.0, 0.0)",negative,Neutralan
ENG30-00961114-v,"rečima ili izrazom izraziti svoja osećanja, misli, itd.","['izraziti', 'formulisati', 'artikulisati']","(0.0, 0.0)",positive,Neutralan
ENG30-01983162-a,koji zaslužuje uvažavanje i poštovanje,"['častan', 'dobar', 'dobronameran', 'moralan', 'pošten', 'poštovan', 'pouzdan', 'siguran', 'ugledan', 'uredan', 'uvažen']","(0.0, 0.0)",positive,Neutralan
ENG30-02116118-v,čija osećanja uzrujati,"['izazivati', 'izazvati', 'ložiti', 'nadahnuti', 'nagnati', 'nagoniti', 'nagovarati', 'nagovoriti', 'naložiti', 'napaliti', 'navesti', 'navoditi', 'paliti', 'podstaći', 'podstaknuti', 'podsticati', 'pokrenuti', 'pokretati', 'potaknuti', 'provocirati', 'stimulirati', 'stimulisati', 'uzbuditi', 'uzbuđivati', 'zagrejati']","(0.0, 0.0)",positive,Negativan
ENG30-03199901-n,mali brod plitkog mlaznjaka sa pregradama za sedišta i ispustima za vesla pomoću kojih se kreće,['čamac'],"(0.0, 0.0)",positive,Neutralan
ENG30-05855004-n,Specijalna apstrakcija.,['stvar'],"(0.0, 0.0)",positive,Neutralan
ENG30-02185373-v,Proizvoditi lagane ritmičke udarce po površini.,"['kucati', 'tapkati', 'lupkati', 'lupati', 'tupkati']","(0.0, 0.0)",negative,Neutralan
ENG30-01153861-n,"(politika) obezbeđivati usluge, ugovore i pozicije u zamjenu za političku podršku",['korupcija'],"(0.0, 0.0)",negative,Negativan
ENG30-07975026-n,Grupa ljudi zajedno na jednom mestu.,"['skupina', 'skup', 'okupljanje']","(0.0, 0.0)",negative,Neutralan
ENG30-13397174-n,Nešto što se duguje.,['dug'],"(0.0, 0.0)",negative,Neutralan
ENG30-02175578-v,Proizvoditi zvuk kao sat ili štoperica.,"['kucati', 'tiktatakati']","(0.0, 0.0)",negative,Negativan
ENG30-06260628-n,"Pojas radijskih frekvencija za, na primer, odašiljanje TV signala.","['pojas', 'talasni pojas']","(0.0, 0.0)",negative,Neutralan
ENG30-00333366-n,Čin uzburkavanja nečega; uzrok njegovog okretanja (obično snažno).,"['agitacija', 'uzburkavanje']","(0.0, 0.0)",negative,Negativan
ENG30-09247410-n,vidljiva masa vode i leda ili ledenih čestica koje se drže na zamašnoj visini,['oblak'],"(0.0, 0.0)",negative,Neutralan
ENG30-02100968-a,nižeg ranga ili statusa,"['drugostepen', 'drugostepeni', 'inferioran', 'manji', 'mlađi', 'niži', 'podčinjen', 'podređen', 'podređeni', 'potčinjen', 'sekundaran', 'sekundarni', 'sporedan', 'subordiniran', 'zavisan']","(0.0, 0.0)",negative,Negativan
ENG30-01041968-n,"čin komuniciranja sa božanstvom (posebno kojom se izražava molba, obožavanje, pokajanje ili zahvalnost)",['molitva'],"(0.0, 0.0)",positive,Neutralan
ENG30-01619014-v,"šta praviti ili dizajnirati, često na određeni način","['činiti', 'formirati', 'graditi', 'načiniti', 'napraviti', 'praviti', 'proizvesti', 'proizvoditi', 'sagraditi', 'stvoriti', 'tvoriti', 'učiniti']","(0.0, 0.0)",positive,Neutralan
ENG30-00830717-a,koji nije uživao dobro obrazovanje,['neobrazovan'],"(0.0, 0.0)",negative,Negativan
ENG30-08524735-n,"Velika, gusto naseljena gradska zona; može da sadrži više nezavisnih administrativnih područja.","['metropola', 'velegrad']","(0.0, 0.0)",positive,Neutralan
ENG30-00862683-v,napasti koga usmeno ili pismeno,"['napadati', 'napasti', 'nasrnuti', 'nasrtati', 'navaliti (na koga)', 'navaliti [na koga]', 'navaljivati (na koga)']","(0.0, 0.0)",negative,Negativan
ENG30-06379721-n,dugačka narativna pesma koja govori o herojskim podvizima,"['epska pesma', 'herojska pesma', 'epska poema', 'ep']","(0.0, 0.0)",positive,Neutralan
ENG30-02561168-v,do određenog stepena proširiti,"['proneti', 'pronositi', 'proširiti', 'proširivati']","(0.0, 0.0)",positive,Neutralan
ENG30-07277158-n,deo rukopisa koji je kopiran od nekog drugog i predstavljen kao sopstven rad,['plagijat'],"(0.0, 0.0)",negative,Negativan
ENG30-14080210-n,"bolno oboljenje zglobova,  mišića ili vezivnog tkiva.",['reumatizam'],"(0.0, 0.0)",negative,Negativan
ENG30-01071090-n,čin tolerisanja čega,"['popuštanje', 'popustljivost', 'tolerancija', 'tolerantnost']","(0.0, 0.0)",positive,Neutralan
ENG30-00471711-v,prekinuti ili izbaciti,"['eliminirati', 'eliminisati', 'isključiti', 'odstraniti', 'osloboditi čega', 'osloboditi se', 'otarasiti se', 'ukinuti', 'ukloniti', 'uništiti', 'zatrti']","(0.0, 0.0)",negative,Negativan
ENG30-15145586-n,Rana faza rasta ili razvoja.,"['detinjstvo', 'najranije detinjstvo', 'rano detinjstvo']","(0.0, 0.0)",positive,Neutralan
ENG30-08152787-n,"Sveštenici posmatrani kao celina, nasuprot laicima.","['svećenstvo', 'sveštenstvo', 'kler', 'duhovnici']","(0.0, 0.0)",positive,Negativan
ENG30-00004980-a,(koristi se za tekstove) koji je potpun,"['neskraćen', 'potpun']","(0.0, 0.0)",positive,Neutralan
ENG30-02477755-v,šta na neodređeno vreme odložiti ili šta što je bilo zakazano poništiti,"['otkazati', 'otkazivati', 'poništiti']","(0.0, 0.0)",negative,Neutralan
ENG30-04181718-n,zaštitna obloga koja štiti nešto od direktnog sunčevog zračenja,"['hladovina', 'parazol', 'senka', 'suncobran']","(0.0, 0.0)",positive,Neutralan
ENG30-06455990-n,nepromenljivi tekst koji se koristi u toku moljenja,['molitva'],"(0.0, 0.0)",positive,Neutralan
ENG30-03047071-a,o krštenju ili koje je u vezi sa krštenjem,"['kršteni', 'krsni']","(0.0, 0.0)",positive,Neutralan
ENG30-00094460-v,promeniti se (u pogledu fizičkih karakteristika i atributa),"['dobiti', 'doći u stanje', 'evoluirati', 'izgraditi', 'izgraditi se', 'narasti', 'postati', 'rasti', 'razvijati', 'razvijati se', 'razviti', 'razviti se', 'steći', 'usvojiti', 'zadobiti', 'zaraditi']","(0.0, 0.0)",positive,Neutralan
ENG30-02122948-n,Mladunče domaće mačke.,"['mače', 'mačić']","(0.0, 0.0)",positive,Negativan
ENG30-00053691-a,"onaj koji poseduje svojstvo lepljenja, priljubljivanja","['lepljiv', 'prionljiv']","(0.0, 0.0)",negative,Negativan
ENG30-03789014-n,Dezen koji se sastoji od oblika i boja koje se ponavljaju.,['motiv'],"(0.0, 0.0)",positive,Neutralan
ENG30-01216004-v,šta čvrsto držati,"['držati', 'grabiti', 'zadržati', 'zgrabiti']","(0.0, 0.0)",negative,Neutralan
ENG30-05980412-n,Verovanje koje se suprotstavlja dogmama zvanične crkve.,['jeres'],"(0.0, 0.0)",negative,Negativan
ENG30-01254912-v,"odvojiti okolno živo tkivo, kao u abortusu.","['očistiti', 'odstraniti']","(0.0, 0.0)",positive,Negativan
ENG30-05750163-n,Ukus koji je u nekom trenutku popularan.,"['moda', 'trend']","(0.0, 0.0)",negative,Negativan
BILI-00000944,U šećeru kuvano celo voće ili njegovi veći komadi.,['slatko'],"(0.0, 0.0)",positive,Negativan
ENG30-01283208-v,"Pokriti sa svih strana, recimo radi zaštite.","['umotati', 'uviti', 'previti']","(0.0, 0.0)",negative,Neutralan
ENG30-01075117-n,akcija oružanih snaga kojom se opkoljava utvrđeno mesto dok se borbe nastavljaju,['opsada'],"(0.0, 0.0)",negative,Negativan
ENG30-01041762-v,zatražiti od koga da dođe,"['pozivati', 'pozvati', 'sazivati', 'sazvati']","(0.0, 0.0)",positive,Negativan
ENG30-02156140-n,"oštar zakrivljen rožnati deo na prstima  ptica, nekih sisara i gmizavaca",['kandža'],"(0.0, 0.0)",negative,Negativan
ENG30-00019613-n,Ono što ima masu i zauzima prostor.,"['materija', 'supstanca', 'supstancija', 'tvar']","(0.0, 0.0)",positive,Neutralan
ENG30-06343971-n,Red teksta koji ukazuje o čemu se radi u tekstu koji sledi.,['naslov'],"(0.0, 0.0)",positive,Neutralan
ENG30-13943400-n,poseban splet okolnosti,['slučaj'],"(0.0, 0.0)",negative,Neutralan
ENG30-05706375-n,nedostatak pažnje (prema deci ili bespomoćnim ljudima),"['nehat', 'nemar', 'nemarnost', 'nepažljivost', 'nepažnja']","(0.0, 0.0)",negative,Negativan
ENG30-00719705-n,Poseban deo posla koji treba bude urađen kao obaveza ili za posebnu naknadu.,"['zaduženje', 'zadatak']","(0.0, 0.0)",positive,Neutralan
ENG30-07292694-n,Nešto što rezultira iz nečega.,['rezultat'],"(0.0, 0.0)",positive,Neutralan
ENG30-01049685-n,čin kojimse sakriva postojanje nečega tako što se to sakriva od pogleda,['maskiranje'],"(0.0, 0.0)",negative,Neutralan
ENG30-00707366-a,čvrste i snažne konstitucije i građe; istrajan,"['čvrst', 'kršan', 'krševit', 'robustan']","(0.0, 0.0)",positive,Neutralan
ENG30-05793554-n,Osnovne pretpostavke koje leže ispod objašnjenja.,"['osnova', 'temelj', 'fundament']","(0.0, 0.0)",positive,Neutralan
ENG30-02230772-v,Staviti nekome u ruke ili na staranje.,"['izručiti', 'predati', 'pružiti', 'uručiti']","(0.0, 0.0)",positive,Neutralan
ENG30-08386555-n,"grupa ili klasa ljudi koji uživaju najviši intelektualni, društveni ili ekonomski status",['elita'],"(0.0, 0.0)",positive,Negativan
ENG30-14446652-n,stanje napetosti i osećanja bolova,"['bolnost', 'iritacija', 'napetost', 'nelagodnost', 'neprijatnost', 'neudobnost', 'neugodnost']","(0.0, 0.0)",negative,Negativan
ENG30-00546299-a,kratko dajući suštinu nečega,"['jezgrovit', 'kompaktan', 'kratak', 'sažet']","(0.0, 0.0)",positive,Negativan
ENG30-07308563-n,burno oslobađanje energije koje uzrokuje hemijska ili atomska reakcija,"['detonacija', 'eksplozija']","(0.0, 0.0)",negative,Neutralan
ENG30-07196682-n,rečenica koja traži odgovor,"['ispitivanje', 'pitanje', 'upit']","(0.0, 0.0)",negative,Neutralan
ENG30-00599992-v,biti učenik određenog predmeta,"['čitati', 'čuti', 'naučiti', 'otkriti', 'proučavati', 'saznati', 'studirati', 'učiti']","(0.0, 0.0)",positive,Neutralan
ENG30-07754451-n,okrugao plod sa hlebnom teksturom mesa; jede se kuvan ili pečen,['kesten'],"(0.0, 0.0)",negative,Negativan
ENG30-08401819-n,pogrdni izrazi za običan narod,"['rulja', 'svetina', 'gomila']","(0.0, 0.0)",negative,Negativan
ENG30-15266911-n,tačka u vremenu kada se nešto završava,"['gotovo', 'konac', 'kraj', 'prestanak', 'svršetak', 'završetak']","(0.0, 0.0)",negative,Negativan
ENG30-01399576-v,udarati opetovano (deo sopstvenog tela) kao potaknut snažnim osećanjima ili u pratnji muzike,"['busati', 'tući', 'udarati', 'udariti']","(0.0, 0.0)",negative,Neutralan
ENG30-04306847-n,skulptura koja predstavlja ljude ili životinje,"['kip', 'skulptura', 'spomenik', 'statua']","(0.0, 0.0)",positive,Neutralan
ENG30-00119568-n,Čin skakanja; odvajanje tela od zemlje.,"['skok', 'odraz']","(0.0, 0.0)",positive,Negativan
ENG30-04338359-n,Zbirka predmeta naredanih na jedno vlakno.,"['niz', 'niska']","(0.0, 0.0)",positive,Neutralan
ENG30-01982646-a,koji ima dobru reputaciju,"['na dobrom glasu', 'pouzdan', 'ugledan']","(0.0, 0.0)",positive,Pozitivan
ENG30-01055073-a,imati neki miris ili biti karakterističnog mirisa,"['mirisan', 'mirišljav', 'aromatičan']","(0.0, 0.0)",positive,Neutralan
ENG30-02553697-v,"koga prema uputstvima i praksi trenirati, naročito da bi ga samokontroli podučili","['civilizovati', 'disciplinovati', 'dovesti u red', 'dovoditi u red', 'dresirati', 'izdresirati', 'kultivisati', 'obrazovati', 'obučavati', 'obučiti', 'osposobiti', 'osposobljavati', 'podučavati', 'podučiti', 'školovati', 'trenirati']","(0.0, 0.0)",positive,Negativan
ENG30-00037457-a,težnja da postane ozbiljan ili šireg opsega.,['aktivan'],"(0.0, 0.0)",positive,Neutralan
ENG30-01116447-v,prestati opirati se; prestati boriti se,"['dati kome prvenstvo', 'dopuštati', 'dopustiti', 'odustajati', 'odustati', 'popuštati', 'popustiti', 'predati se', 'predavati se', 'prepuštati', 'prepustiti']","(0.0, 0.0)",negative,Negativan
ENG30-00981830-n,operacija prikupljanja informacija o neprijatelju,"['inteligencija', 'špijunaža']","(0.0, 0.0)",negative,Negativan
ENG30-01129977-a,moralno primeran,"['častan', 'dobar', 'primeran', 'ugledan']","(0.0, 0.0)",positive,Neutralan
ENG30-00421590-a,odvratno prljav; prekriven ili zamazan kakvom odvratnom tvari,"['gadan', 'išaran', 'neprijatan', 'odbojan', 'odvratan', 'otužan', 'prašnjav', 'prljav', 'uprašnjavljen', 'uprljan', 'zaprljan']","(0.0, 0.0)",negative,Negativan
ENG30-10243137-n,uljudno ime za bilo koju ženu,['dama'],"(0.0, 0.0)",positive,Negativan
