ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa,sentiment_sa_positive,sentiment_sa_negative,ollama_positive_value,ollama_positive_explanation,ollama_positive_raw,ollama_negative_value,ollama_negative_explanation,ollama_negative_raw,ollama_model
ENG30-07157273-n,karakteristični jezik određene grupe (kao lopova),"['sleng', 'žargon']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,nije negativan,nije pozitivan,"Tekst opisuje negativnu karakteristiku (grupu lopova), što ukazuje na negativan sentiment.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje negativnu karakteristiku (grupu lopova), što ukazuje na negativan sentiment.""}",nije negativan,"Tekst opisuje karakteristike jezika određene grupe, bez izražavanja negativnih osećaja ili sudova.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje karakteristike jezika određene grupe, bez izražavanja negativnih osećaja ili sudova.""}",mistral-small3.2:latest
ENG30-01623268-a,ocigledno i dosadno,"['banalan', 'trivijalan']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan,nije pozitivan,"Tekst 'ocigledno i dosadno' sadrži negativne konotacije, što ukazuje na nedostatak pozitivnih osećaja.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'ocigledno i dosadno' sadrži negativne konotacije, što ukazuje na nedostatak pozitivnih osećaja.""}",slabo negativan,"Tekst 'ocigledno i dosadno' sadrži reč 'dosadno' koja ima negativnu konotaciju, ali nije ekstremno negativna.","{""value"": ""slabo negativan"", ""explanation"": ""Tekst 'ocigledno i dosadno' sadrži reč 'dosadno' koja ima negativnu konotaciju, ali nije ekstremno negativna.""}",mistral-small3.2:latest
ENG30-00421002-a,zamrljan prljavštinom i čađi,"['čađav', 'crn', 'prašnjav', 'prljav', 'uprašnjavljen', 'uprljan', 'zaprljan']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan,nije pozitivan,"Tekst opisuje neugodne i negativne kvalitete, što ukazuje na nedostatak pozitivnog sentimenta.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje neugodne i negativne kvalitete, što ukazuje na nedostatak pozitivnog sentimenta.""}",veoma negativan,Tekst opisuje neugodne i nepoželjne kvalitete (prljavština i čađ) što ukazuje na jak negativan sentiment.,"{""value"": ""veoma negativan"", ""explanation"": ""Tekst opisuje neugodne i nepoželjne kvalitete (prljavština i čađ) što ukazuje na jak negativan sentiment.""}",mistral-small3.2:latest
ENG30-01234345-n,nemogućnost prisustva,['odsustvo'],"(0.0, 0.0)",negative,Negativan,Nijedan    O,nije negativan,nije pozitivan,"Riječ 'nemogućnost' ima negativnu konotaciju, jer označava odsustvo mogućnosti ili ograničenje, što ne pripada kategorijama pozitivnog sentimenta.","{""value"": ""nije pozitivan"", ""explanation"": ""Riječ 'nemogućnost' ima negativnu konotaciju, jer označava odsustvo mogućnosti ili ograničenje, što ne pripada kategorijama pozitivnog sentimenta.""}",nije negativan,Termin 'nemogućnost prisustva' je neutralan i ne nosi izraženu negativnu konotaciju.,"{""value"": ""nije negativan"", ""explanation"": ""Termin 'nemogućnost prisustva' je neutralan i ne nosi izraženu negativnu konotaciju.""}",mistral-small3.2:latest
ENG30-00058743-n,Čin fizičkog bežanja.,"['beg', 'bekstvo']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst opisuje čin fizičkog bežanja, što može imati neutralan ili negativan konotacijon kontekstu, ali ne sadrži izrazito pozitivne elemente.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje čin fizičkog bežanja, što može imati neutralan ili negativan konotacijon kontekstu, ali ne sadrži izrazito pozitivne elemente.""}",nije negativan,Tekst opisuje neutralnu akciju bez izražene negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje neutralnu akciju bez izražene negativne konotacije.""}",mistral-small3.2:latest
ENG30-07436475-n,"Emisija rastopljenog stenskog materijala, pepela i gasova na različite načine, ali pretežno eksplozivnom aktivnošću.","['vulkanska erupcija', 'erupcija']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst opisuje destruktivne i opasne procese (emisija rastopljenog materijala, pepela i gasova) bez ikakvih pozitivnih konotacija.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje destruktivne i opasne procese (emisija rastopljenog materijala, pepela i gasova) bez ikakvih pozitivnih konotacija.""}",nije negativan,Tekst opisuje prirodni fenomen bez izražene negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje prirodni fenomen bez izražene negativne konotacije.""}",mistral-small3.2:latest
ENG30-05207130-n,nemati snagu da se šta izvede,"['nemoć', 'nesposobnost', 'slabost']","(0.0, 0.0)",negative,Negativan,Nijedan    O,veoma negativan,nije pozitivan,"Tekst izražava nedostatak snage i sposobnosti, što ukazuje na negativan sentiment.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst izražava nedostatak snage i sposobnosti, što ukazuje na negativan sentiment.""}",nije negativan,"Tekst 'nemati snagu da se šta izvede' opisuje stanja kao što su nemoć ili nemogućnost, što nije nužno negativno, već neutralno ili blago negativno.","{""value"": ""nije negativan"", ""explanation"": ""Tekst 'nemati snagu da se šta izvede' opisuje stanja kao što su nemoć ili nemogućnost, što nije nužno negativno, već neutralno ili blago negativno.""}",mistral-small3.2:latest
ENG30-02505358-v,"prisiliti ili privoleti ili neprestano terati ili prisiljujući pritisak vršiti, ili snažno motivisati","['motivisati', 'naterati', 'podstaći', 'podstaknuti', 'podsticati', 'primorati', 'primoravati', 'prinuditi', 'privoleti', 'privoljavati']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan,nije pozitivan,"Tekst sadrži negativne izraze kao što su 'prisiliti', 'privoleti', 'terati', 'pritisak' koji ukazuju na prisiljavanje ili negativno ponašanje, što ga svrstava u kategoriju 'nije pozitivan'.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst sadrži negativne izraze kao što su 'prisiliti', 'privoleti', 'terati', 'pritisak' koji ukazuju na prisiljavanje ili negativno ponašanje, što ga svrstava u kategoriju 'nije pozitivan'.""}",ekstremno negativan,"Tekst sadrži izrazito negativne izraze kao što su 'prisiliti', 'privoleti', 'terati', 'pritisak' i 'snažno motivisati', koji ukazuju na prisiljavanje i negativno ponašanje.","{""value"": ""ekstremno negativan"", ""explanation"": ""Tekst sadrži izrazito negativne izraze kao što su 'prisiliti', 'privoleti', 'terati', 'pritisak' i 'snažno motivisati', koji ukazuju na prisiljavanje i negativno ponašanje.""}",mistral-small3.2:latest
ENG30-01215137-v,"Staviti u pritvor, kao osumnjičene kriminalce; o policiji.","['uhapsiti', 'zatvoriti', 'skembati']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,Umjereno negativan,nije pozitivan,"Tekst ima negativan ton, jer se odnosi na stavljanje u pritvor i osumnjičenje za kriminal, što su negativne konotacije.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst ima negativan ton, jer se odnosi na stavljanje u pritvor i osumnjičenje za kriminal, što su negativne konotacije.""}",negativan,"Tekst izražava negativne konotacije vezane za stavljanje u pritvor i usporedbu sa kriminalcima, što ukazuje na negativan sentiment.","{""value"": ""negativan"", ""explanation"": ""Tekst izražava negativne konotacije vezane za stavljanje u pritvor i usporedbu sa kriminalcima, što ukazuje na negativan sentiment.""}",mistral-small3.2:latest
ENG30-00613683-v,"ostaviti nešto za sobom, bilo namerno bilo nemarom ili zaboravnošću","['napuštati', 'napustiti', 'ostaviti', 'ostavljati', 'zaboraviti', 'zaboravljati']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,Umereno negativan,nije pozitivan,"Tekst 'ostaviti nešto za sobom, bilo namerno bilo nemarom ili zaboravnošću' ima neutralan do negativan ton, jer se odnosi na nedostatak ili gubitak, što ne ukazuje na pozitivne emocije ili kvalitete.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'ostaviti nešto za sobom, bilo namerno bilo nemarom ili zaboravnošću' ima neutralan do negativan ton, jer se odnosi na nedostatak ili gubitak, što ne ukazuje na pozitivne emocije ili kvalitete.""}",nije negativan,"Tekst 'ostaviti nešto za sobom, bilo namerno bilo nemarom ili zaboravnošću' ne sadrži izrazito negativne emocije, već opisuje neutralno stanje ili činjenicu.","{""value"": ""nije negativan"", ""explanation"": ""Tekst 'ostaviti nešto za sobom, bilo namerno bilo nemarom ili zaboravnošću' ne sadrži izrazito negativne emocije, već opisuje neutralno stanje ili činjenicu.""}",mistral-small3.2:latest
ENG30-02574205-v,Napraviti nekog žrtvom prevare.,"['prevariti', 'obmanuti']","(0.0, 0.0)",negative,Negativan,Nijedan    O,veoma negativan,nije pozitivan,"Tekst opisuje negativnu situaciju u kojoj neko postaje žrtvom prevare, što ukazuje na negativan sentiment.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje negativnu situaciju u kojoj neko postaje žrtvom prevare, što ukazuje na negativan sentiment.""}",veoma negativan,"Tekst opisuje situaciju u kojoj neko postaje žrtvom prevare, što je jasno negativan događaj sa jakim negativnim sentimentom.","{""value"": ""veoma negativan"", ""explanation"": ""Tekst opisuje situaciju u kojoj neko postaje žrtvom prevare, što je jasno negativan događaj sa jakim negativnim sentimentom.""}",mistral-small3.2:latest
BILI-00000941,"Glasno izražavati žalost, zapevati, tužiti.",['naricati'],"(0.0, 0.0)",negative,Negativan,Nije    Ova iz,Nije negativan,nije pozitivan,"Tekst opisuje izražavanje negativnih emocija kao što su žalost i tužba, što ukazuje na negativan sentiment.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje izražavanje negativnih emocija kao što su žalost i tužba, što ukazuje na negativan sentiment.""}",negativan,"Tekst opisuje izražavanje žalosti i tuge, što ukazuje na negativan sentiment.","{""value"": ""negativan"", ""explanation"": ""Tekst opisuje izražavanje žalosti i tuge, što ukazuje na negativan sentiment.""}",mistral-small3.2:latest
ENG30-14440623-n,nisko stanje sklono padu naniže,"['degradacija', 'dekadencija', 'opadanje', 'poniženje', 'propadanje', 'unižavanje']","(0.0, 0.0)",negative,Negativan,Nijedan    O,nije negativan,nije pozitivan,"Tekst opisuje negativno stanje, što ukazuje na odsustvo pozitivnih osećaja.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje negativno stanje, što ukazuje na odsustvo pozitivnih osećaja.""}",slabo negativan,"Tekst 'nisko stanje sklono padu naniže' ima negativnu konotaciju, ali ne i ekstremno negativnu, jer opisuje stanje bez jače emocije ili oštre kritike.","{""value"": ""slabo negativan"", ""explanation"": ""Tekst 'nisko stanje sklono padu naniže' ima negativnu konotaciju, ali ne i ekstremno negativnu, jer opisuje stanje bez jače emocije ili oštre kritike.""}",mistral-small3.2:latest
ENG30-00095121-n,čin okajanja greha ili nepravde (naročito putem umirivanja božanstva),['pokajanje'],"(0.0, 0.0)",negative,Negativan,Nije pozitivan,Nije negativan,nije pozitivan,"Termin 'čin okajanja greha ili nepravde' ima neutralan do negativan konotacijski nijansu, jer se odnosi na iskupljenje ili ispravljanje grešaka, što nije izričito pozitivno.","{""value"": ""nije pozitivan"", ""explanation"": ""Termin 'čin okajanja greha ili nepravde' ima neutralan do negativan konotacijski nijansu, jer se odnosi na iskupljenje ili ispravljanje grešaka, što nije izričito pozitivno.""}",nije negativan,"Termin 'čin okajanja greha ili nepravde' ima neutralan do blago pozitivan konotacijski nijansu, jer se odnosi na moralno i duhovno ispravljanje, a ne na izražavanje negativnih emocija ili stavova.","{""value"": ""nije negativan"", ""explanation"": ""Termin 'čin okajanja greha ili nepravde' ima neutralan do blago pozitivan konotacijski nijansu, jer se odnosi na moralno i duhovno ispravljanje, a ne na izražavanje negativnih emocija ili stavova.""}",mistral-small3.2:latest
ENG30-02226429-n,"Insekt koji živi na zemlji, ima snažne zadnje noge pomoću kojih može daleko da skoči, hrani se biljkama i često je velika štetovyina.",['skakavac'],"(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst opisuje insekt kao štetnu vrstu koja se hrani biljkama, što ukazuje na negativan sentiment.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje insekt kao štetnu vrstu koja se hrani biljkama, što ukazuje na negativan sentiment.""}",nije negativan,"Tekst opisuje insekt na neutralan način, bez izražene negativne konotacije, unatoč pomenu da može biti štetovin.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje insekt na neutralan način, bez izražene negativne konotacije, unatoč pomenu da može biti štetovin.""}",mistral-small3.2:latest
ENG30-09426788-n,Deo okeana ili velikog prostranstva slane vode koji je delimično zatvoren kopnom,['more'],"(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,Tekst opisuje geografski fenomen bez izražene pozitivne ili negativne konotacije.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje geografski fenomen bez izražene pozitivne ili negativne konotacije.""}",nije negativan,Tekst opisuje geografski fenomen bez izražene negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje geografski fenomen bez izražene negativne konotacije.""}",mistral-small3.2:latest
ENG30-12345280-n,Žbun ili malo drvo poreklom iz jugozapadne Azije; ima veliki plod sa mnogo semenki.,"['nar', 'šipak', 'granata', 'mogranj', 'Punica granatum']","(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,Tekst opisuje biljku bez izražavanja pozitivnih ili negativnih emocija ili stavova.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje biljku bez izražavanja pozitivnih ili negativnih emocija ili stavova.""}",nije negativan,"Tekst opisuje biljku bez izražene negativne konotacije, pa se klasifikuje kao 'nije negativan'.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje biljku bez izražene negativne konotacije, pa se klasifikuje kao 'nije negativan'.""}",mistral-small3.2:latest
ENG30-02180898-v,Proizvoditi zvonak zvuk.,['zvoniti'],"(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst 'Proizvoditi zvonak zvuk' je neutralan i ne sadrži izražene pozitivne ili negativne emocije, pa se klasifikuje kao 'nije pozitivan'.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'Proizvoditi zvonak zvuk' je neutralan i ne sadrži izražene pozitivne ili negativne emocije, pa se klasifikuje kao 'nije pozitivan'.""}",nije negativan,Tekst opisuje neutralnu akciju bez izražene negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje neutralnu akciju bez izražene negativne konotacije.""}",mistral-small3.2:latest
ENG30-06828389-n,karakter nalik na zvezdu (*) koji se koristi u štampanim tekstovima,"['asterisk', 'zvezdica', 'zvezda']","(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Karakter nalik na zvezdu (*) koji se koristi u štampanim tekstovima nema izraženu pozitivnu ili negativnu konotaciju, pa se klasifikuje kao 'nije pozitivan'.","{""value"": ""nije pozitivan"", ""explanation"": ""Karakter nalik na zvezdu (*) koji se koristi u štampanim tekstovima nema izraženu pozitivnu ili negativnu konotaciju, pa se klasifikuje kao 'nije pozitivan'.""}",nije negativan,Karakter nalik na zvezdu (*) koji se koristi u štampanim tekstovima je neutralan i ne nosi negativnu konotaciju.,"{""value"": ""nije negativan"", ""explanation"": ""Karakter nalik na zvezdu (*) koji se koristi u štampanim tekstovima je neutralan i ne nosi negativnu konotaciju.""}",mistral-small3.2:latest
ENG30-07175241-n,Verbalni čin dogovaranja.,['dogovaranje'],"(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,Tekst 'Verbalni čin dogovaranja' je neutralan i ne sadrži izražene pozitivne emocije ili kvalitete.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'Verbalni čin dogovaranja' je neutralan i ne sadrži izražene pozitivne emocije ili kvalitete.""}",nije negativan,Tekst 'Verbalni čin dogovaranja' ne sadrži negativne konotacije i opisuje neutralan pravni ili formalni postupak.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst 'Verbalni čin dogovaranja' ne sadrži negativne konotacije i opisuje neutralan pravni ili formalni postupak.""}",mistral-small3.2:latest
ENG30-05868272-n,srednji deo ili odeljak,"['centar', 'razrada', 'sreda', 'sredina', 'središte']","(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst 'srednji deo ili odeljak' ne sadrži izražene pozitivne ili negativne emocije, pa se klasifikuje kao 'nije pozitivan'.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'srednji deo ili odeljak' ne sadrži izražene pozitivne ili negativne emocije, pa se klasifikuje kao 'nije pozitivan'.""}",nije negativan,Tekst 'srednji deo ili odeljak' je neutralan i ne sadrži izražene negativne emocije ili kvalitete.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst 'srednji deo ili odeljak' je neutralan i ne sadrži izražene negativne emocije ili kvalitete.""}",mistral-small3.2:latest
ENG30-10402824-n,Osoba koja je uključena u neki zakonski postupak.,"['stranka', 'strana']","(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,Tekst opisuje neutralnu situaciju bez izražene pozitivne konotacije.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje neutralnu situaciju bez izražene pozitivne konotacije.""}",nije negativan,Tekst opisuje neutralnu situaciju bez izražene negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje neutralnu situaciju bez izražene negativne konotacije.""}",mistral-small3.2:latest
ENG30-12392549-n,Višegodišnja evropska kopriva koja ima široko grubo nazubljeno lišće sa bockavim dlaćicama.,"['kopriva', 'Urtica dioica']","(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst opisuje biljku na neutralan i opisni način, bez izražavanja pozitivnih emocija ili osećaja.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje biljku na neutralan i opisni način, bez izražavanja pozitivnih emocija ili osećaja.""}",nije negativan,"Tekst opisuje biljku na objektivan i neutralan način, bez izražavanja negativnih osećaja ili mišljenja.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje biljku na objektivan i neutralan način, bez izražavanja negativnih osećaja ili mišljenja.""}",mistral-small3.2:latest
